,index,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
922,2608,tt1161418,Gentlemen Broncos,Gentlemen Broncos,2009,2010-05-27,"Adventure, Comedy, Sci-Fi",89,USA,English,Jared Hess,"Jared Hess, Jerusha Hess",Bronco Productions,"Michael Angarano, John Baker, Robin Ballard, Steve Berg, Kristin Brewer, Jemaine Clement, Kristie Conway, Jennifer Coolidge, Rod Decker, Isaac Demke, Halley Feiffer, Johnny Hoops, Héctor Jiménez, Jizelle Jade, Daniel Love",A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.,6.2,10466,$ 10000000,$ 113682,$ 118492,28.0,61.0,104.0,6.2,10466,6.5,7.0,1203,744,1520,2118,1825,1172,632,484,330,438,6.0,2.0,6.1,1591.0,6.2,5773.0,5.9,1514.0,6.1,7654.0,7.0,1.0,6.0,1189.0,6.2,4930.0,5.9,1314.0,6.4,1399.0,5.0,1.0,6.4,381.0,6.4,787.0,6.3,174.0,4.8,163.0,6.1,3164.0,6.1,4769.0
923,2611,tt1171222,Baggage Claim,Baggage Claim,2013,2013-09-27,"Comedy, Romance",96,USA,English,David E. Talbert,"David E. Talbert, David E. Talbert",Fox Searchlight Pictures,"Paula Patton, Derek Luke, Taye Diggs, Boris Kodjoe, Trey Songz, Jill Scott, Adam Brody, Jenifer Lewis, Djimon Hounsou, Lauren London, Christina Milian, Tia Mowry-Hardrict, La La Anthony, Rickey Smiley, Thomas Miles","Pledging to keep herself from being the oldest and the only woman in her entire family never to wed, Montana embarks on a thirty-day, thirty-thousand-mile expedition to charm a potential suitor into becoming her fiancé.",5.1,8426,$ 8500000,$ 21569509,$ 22456509,34.0,43.0,54.0,5.1,8426,5.4,5.0,699,249,532,987,1572,1703,1032,632,412,608,6.3,6.0,5.4,2046.0,4.9,3146.0,4.8,1178.0,4.7,3577.0,5.0,1.0,4.8,741.0,4.7,1779.0,4.5,787.0,5.5,3259.0,6.6,5.0,5.7,1276.0,5.3,1327.0,5.5,374.0,4.3,141.0,5.1,1862.0,4.9,3210.0
924,2612,tt1172049,Demolition,Demolition,2015,2016-04-29,"Comedy, Drama",101,USA,English,Jean-Marc Vallée,Bryan Sipe,Black Label Media,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis, C.J. Wilson, Polly Draper, Malachy Cleary, Debra Monk, Heather Lind, Wass Stevens, Blaire Brooks, Ben Cole, Brendan Dooling, James Colby, Alfredo Narciso","A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",7.0,80832,$ 10000000,$ 1978592,$ 4366460,49.0,149.0,225.0,7.0,80832,7.1,7.0,4824,6827,19463,26255,13932,5388,1881,954,499,809,6.8,36.0,7.2,22705.0,6.9,29913.0,6.7,6548.0,7.0,51119.0,6.6,30.0,7.2,17682.0,6.9,24455.0,6.7,5411.0,7.1,11649.0,8.4,5.0,7.2,4675.0,7.0,5010.0,6.9,994.0,6.2,313.0,6.9,7120.0,7.0,39552.0
925,2613,tt1172233,Whip It,Whip It,2009,2010-04-09,"Drama, Sport",111,USA,English,Drew Barrymore,"Shauna Cross, Shauna Cross",Mandate Pictures,"Sarah Habel, Shannon Eagen, Edward Austin Kelly, Mary Callaghan Lynch, Ellen Page, Jimmy Fallon, Alia Shawkat, Marcia Gay Harden, Barbara Coven, Eulala Scheel, Nina Kircher, Daniel Stern, Mark Boyd, Carlo Alban, Douglas Minckiewicz","In Bodeen, Texas, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.",6.9,61790,$ 15000000,$ 13043363,$ 16633035,68.0,126.0,193.0,6.9,61790,7.0,7.0,4842,4936,12890,19714,11437,4418,1622,778,452,701,6.2,13.0,7.0,15203.0,6.8,29761.0,6.8,7298.0,6.7,33797.0,5.2,5.0,6.8,6696.0,6.7,20496.0,6.8,5725.0,7.2,19515.0,7.3,7.0,7.2,8310.0,7.1,8948.0,7.1,1469.0,6.3,408.0,7.0,15495.0,6.8,30918.0
926,2619,tt1178665,A Walk in the Woods,A Walk in the Woods,2015,2015-09-18,"Adventure, Biography, Comedy",104,USA,English,Ken Kwapis,"Michael Arndt, Bill Holderman",Route One Entertainment,"Robert Redford, Nick Nolte, Emma Thompson, Mary Steenburgen, Nick Offerman, Kristen Schaal, R. Keith Harris, Randall Newsome, Hayley Lovitt, Linds Edwards, Susan McPhail, Andrew Vogel, Derek Krantz, Gaia Wise, Tucker Meek","After spending two decades in England, Bill Bryson returns to the U.S., where he decides the best way to connect with his homeland is to hike the Appalachian Trail with one of his oldest friends.",6.3,22559,$ 8000000,$ 29504281,$ 37461274,51.0,151.0,168.0,6.3,22559,6.4,6.0,965,805,2793,6572,6495,2920,1030,441,216,322,6.5,10.0,6.4,3225.0,6.3,8688.0,6.4,5491.0,6.3,14197.0,6.4,8.0,6.4,2316.0,6.3,6855.0,6.4,4246.0,6.5,4033.0,9.0,1.0,6.5,866.0,6.4,1717.0,6.6,1164.0,5.7,249.0,6.4,3943.0,6.3,10725.0
927,2621,tt1179056,A Nightmare on Elm Street,A Nightmare on Elm Street,2010,2010-05-07,"Crime, Drama, Horror",95,USA,English,Samuel Bayer,"Wesley Strick, Eric Heisserer",New Line Cinema,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy, Thomas Dekker, Kellan Lutz, Clancy Brown, Connie Britton, Lia D. Mortensen, Julianna Damm, Christian Stolte, Katie Schooping Knight, Hailey Schooping Knight, Leah Uteg, Don Robert Cass","The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.",5.2,87398,$ 35000000,$ 63075011,$ 115664037,35.0,691.0,379.0,5.2,87398,5.4,5.0,5242,2306,5794,11706,17934,17576,10403,6506,4193,5738,4.8,63.0,5.5,25615.0,5.1,39999.0,5.0,6969.0,5.2,61102.0,4.4,46.0,5.4,19265.0,5.1,33758.0,4.9,5910.0,5.4,13473.0,6.8,11.0,5.7,6085.0,5.2,5867.0,5.2,961.0,4.9,489.0,5.2,19659.0,5.2,42839.0
928,2623,tt1179891,My Bloody Valentine,My Bloody Valentine,2009,2009-01-16,"Horror, Mystery, Thriller",101,USA,English,Patrick Lussier,"Todd Farmer, Zane Smith",Lionsgate,"Jensen Ackles, Jaime King, Kerr Smith, Betsy Rue, Edi Gathegi, Tom Atkins, Kevin Tighe, Megan Boone, Karen Baum, Joy de la Paz, Marc Macaulay, Todd Farmer, Jeff Hochendoner, Bingo O'Malley, Liam Rhodes","Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming, Tom finds himself suspected of committing the murders, and it seems like his old flame is the only one that believes he's innocent.",5.4,51677,$ 15000000,$ 51545952,$ 100734718,51.0,288.0,206.0,5.4,51677,5.7,6.0,3724,1699,3852,7677,11132,9951,5671,3486,2141,2344,4.8,15.0,5.4,12987.0,5.4,25582.0,5.6,4930.0,5.4,35173.0,4.5,9.0,5.4,9340.0,5.3,20768.0,5.5,4132.0,5.5,9150.0,9.0,3.0,5.5,3508.0,5.4,4603.0,5.9,737.0,5.1,453.0,5.6,12557.0,5.3,26360.0
929,2624,tt1179904,Paranormal Activity,Paranormal Activity,2007,2009-11-25,"Horror, Mystery, Thriller",86,USA,English,Oren Peli,Oren Peli,Solana Films,"Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong, Ashley Palmer","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",6.3,211267,$ 15000,$ 107918810,$ 193355800,68.0,1241.0,298.0,6.3,211267,6.3,7.0,15520,15066,32265,48624,38879,21921,12377,8323,6493,11799,6.2,113.0,6.2,60759.0,6.4,96619.0,6.1,16723.0,6.3,145338.0,6.2,84.0,6.3,46065.0,6.4,80248.0,6.1,13992.0,6.1,33355.0,6.0,24.0,5.9,14071.0,6.2,15465.0,6.0,2489.0,5.6,638.0,6.4,42575.0,6.2,108250.0
930,2625,tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,2016,2016-03-18,"Drama, Horror, Mystery",103,USA,English,Dan Trachtenberg,"Josh Campbell, Matthew Stuecken",Paramount Pictures,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer, Bradley Cooper, Sumalee Montano, Frank Mottek","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",7.2,268631,$ 15000000,$ 72082998,$ 110216998,76.0,700.0,514.0,7.2,268631,7.2,7.0,13801,26238,77157,87566,37930,13515,5140,2803,1646,2835,7.6,276.0,7.4,68895.0,7.1,97203.0,7.1,21830.0,7.2,172779.0,7.7,226.0,7.4,56466.0,7.2,83461.0,7.1,18602.0,7.0,29432.0,7.3,35.0,7.1,11345.0,7.0,12336.0,7.0,2804.0,7.2,596.0,7.4,36495.0,7.1,114085.0
931,2628,tt1185416,When in Rome,When in Rome,2010,2010-06-25,"Comedy, Romance",91,USA,"English, Italian, Ukrainian",Mark Steven Johnson,"David Diamond, David Weissman",Touchstone Pictures,"Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito, Will Arnett, Jon Heder, Dax Shepard, Alexis Dziena, Kate Micucci, Peggy Lipton, Luca Calvani, Keir O'Donnell, Bobby Moynihan, Kristen Schaal, Judith Malina","Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",5.6,58062,$ 55000000,$ 32680633,$ 43042835,25.0,93.0,149.0,5.6,58062,5.8,6.0,3738,2082,4725,9009,13448,11715,6073,3293,2026,1953,6.3,16.0,5.8,19666.0,5.3,23665.0,5.4,4617.0,5.3,23029.0,6.5,2.0,5.5,6086.0,5.2,13079.0,5.3,3191.0,5.8,26184.0,6.3,14.0,6.1,13352.0,5.6,10340.0,5.8,1360.0,5.0,360.0,5.5,10839.0,5.4,29223.0
